id,created_at,text
1428526248976846851,2021-08-20 01:16:13,"RT @parti_liberal: Les aînés du Canada méritent de vivre dans la dignité, la sécurité et le confort - et leurs familles méritent d'avoir co…"
1428518321746546689,2021-08-20 00:44:43,The antisemitic graffiti sprayed on Beth Sholom Synagogue is abhorrent. To the Jewish community in Toronto and across the country: we stand with you. Hatred has no place in Canada and we will always denounce it - whenever and wherever it arises.
1428518309503320065,2021-08-20 00:44:40,"Les graffitis antisémites sur la synagogue Beth Sholom sont répugnants. À la communauté juive de Toronto et de partout au pays : nous sommes de tout cœur avec vous. La haine n’a pas sa place au Canada. Nous la condamnerons toujours, peu importe où et quand elle se produit."
1428511104423108608,2021-08-20 00:16:02,RT @liberal_party: We’ll work with provinces and territories as partners to do even more for seniors and those who care for them — because…
1428511080171593733,2021-08-20 00:15:56,"RT @parti_liberal: Avec les provinces et territoires, on va en faire plus pour nos aînés et ceux qui en prennent soin. De meilleurs soins p…"
1428461224124166144,2021-08-19 20:57:50,"From training 50,000 more personal support workers and raising their wages, to doubling the Home Accessibility Tax Credit, we’ll make sure every senior in Canada can get the care they need and deserve. Get the details here: https://t.co/0YTX6ZKjRa 

#ForwardForEveryone https://t.co/0pIM3Ibun0"
1428461204163465216,2021-08-19 20:57:45,"En aidant à former 50 000 préposés aux services de soutien, à augmenter leurs salaires et à doubler le crédit d’impôt pour ceux qui veulent rester à la maison, nous nous assurerons que chaque aîné reçoive les soins qu’il mérite. https://t.co/UWdyGoqJez 
 
#AvançonsEnsemble https://t.co/xGnFIY9bDO"
1428409450235301891,2021-08-19 17:32:06,Better care for our seniors starts with better conditions for our frontline workers — and we have a plan for that. Watch LIVE: https://t.co/VUNlplJDab
1428409438537388034,2021-08-19 17:32:03,De meilleurs soins pour nos aînés commencent par de meilleures conditions pour nos travailleurs de première ligne - notre équipe a un plan pour ça. Regardez EN DIRECT : https://t.co/MAsLVLRJLm
1428361449005404171,2021-08-19 14:21:21,"Raising kids is expensive. That’s why we're working towards $10 a day child care. Learn more ⬇️
https://t.co/MEE6HlYjSQ"
1428361431817211928,2021-08-19 14:21:17,"Élever des enfants coûte cher. C’est pourquoi nous travaillons à offrir des services de garde à 10 $ par jour pour aider votre famille. Pour en savoir plus ⬇️
https://t.co/Bo9HGxpry1"
