id,created_at,full_text
1425212463721684999,2021-08-10 21:48:25,b'RT @ILInationhood: Good news: a historic agreement btwn @Mushkegowuk &amp; the federal government will establish a new National Marine Conserva\xe2\x80\xa6'
1425211790200291333,2021-08-10 21:45:44,"b""RT @cathmckenna: \xe2\x80\x9cToday's announcement is another step forward for smart public transit funding that delivers triple bottom line results: j\xe2\x80\xa6"""
1425210740357619717,2021-08-10 21:41:34,b'RT @cathmckenna: \xc2\xab\xc2\xa0L\xe2\x80\x99annonce d\xe2\x80\x99aujourd\xe2\x80\x99hui constitue une \xc3\xa9tape de plus dans le financement intelligent du transport en commun qui produit u\xe2\x80\xa6'
1425179696959004673,2021-08-10 19:38:12,b'RT @CanadianPM: Climate change is both one of the greatest challenges and one of the greatest economic opportunities of our times. That\xe2\x80\x99s w\xe2\x80\xa6'
1425179660279812106,2021-08-10 19:38:04,b'RT @PMcanadien: Les changements climatiques sont un grand d\xc3\xa9fi et une importante possibilit\xc3\xa9 \xc3\xa9conomique de notre \xc3\xa9poque. Le gouvernement du\xe2\x80\xa6'
1425168394521825284,2021-08-10 18:53:18,b'RT @WWFCanada: Good news for woodland caribou in Jasper National Park. \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'
1425153300920479746,2021-08-10 17:53:19,"b""Nous soutenons le r\xc3\xa9tablissement du caribou des bois dans le parc national de Jasper. \n\nCes caribous sont un \xc3\xa9l\xc3\xa9ment embl\xc3\xa9matique de notre patrimoine naturel et culturel. \n\nToutes les esp\xc3\xa8ces ont un r\xc3\xb4le essentiel \xc3\xa0 jouer et m\xc3\xa9ritent d'\xc3\xaatre sauv\xc3\xa9es.\n\nhttps://t.co/tu4FFtWgXZ https://t.co/9vs4mrZHdV"""
1425152932471787522,2021-08-10 17:51:51,"b'We\xe2\x80\x99re supporting the recovery of woodland caribou, an endangered species, in Jasper National Park. \n\nThese caribou are an iconic part of our natural and cultural heritage. \n\nAll species, big and small, have a critical role to play and are worth saving. \n\nhttps://t.co/nDsW0AMdFU https://t.co/24MnkiN5Z0'"
1425127890698620934,2021-08-10 16:12:21,"b'RT @TCTrail: Great news @JonathanWNV and @ParksCanada ! #NationalUrbanParks are a wonderful source for nature based tourism, economic devel\xe2\x80\xa6'"
1425114609506209792,2021-08-10 15:19:34,"b'#ICYMI: yesterday, we took a critical step to advance Indigenous-led conservation, nature-based climate change solutions, and the protection of biodiversity in Canada\xe2\x80\x99s north. https://t.co/kBoA5p3wSQ https://t.co/8KgmgCgd48'"
1425104095438852112,2021-08-10 14:37:48,b'RT @JustinTrudeau: Les changements climatiques sont r\xc3\xa9els et touchent toute la Terre. Le Canada se r\xc3\xa9chauffe presque deux fois plus vite qu\xe2\x80\xa6'
1425104066229817344,2021-08-10 14:37:41,"b'RT @JustinTrudeau: Climate change is real, and it\xe2\x80\x99s affecting every region on Earth. Canada is warming at nearly twice the global rate, wit\xe2\x80\xa6'"
1425091801711620103,2021-08-10 13:48:57,b'RT @BernJordanMP: We\xe2\x80\x99re going to protect 25% of Canada\xe2\x80\x99s lands &amp; oceans by 2025. \n\nThe agreement that @JonathanWNV &amp; @Mushkegowuk signed to\xe2\x80\xa6'
1425091367974342664,2021-08-10 13:47:13,b'RT @environmentca: \xf0\x9f\x94\xb4 #LIVE NOW: Minister O\xe2\x80\x99Regan is making a funding announcement with the city of Mount Pearl to reduce carbon emissions a\xe2\x80\xa6'
1425091334118023190,2021-08-10 13:47:05,b'RT @environnementca: \xf0\x9f\x94\xb4 #ENDIRECT MAINTENANT : Le ministre O\xe2\x80\x99Regan fait une annonce de financement avec la Ville de Mount Pearl pour r\xc3\xa9duire\xe2\x80\xa6'
1424850720210173953,2021-08-09 21:50:58,"b'Today, on #IndigenousPeoplesDay, we must acknowledge that Indigenous people have a deep, incredibly valuable understanding of our lands and waters. \n\nWe must empower Indigenous Guardians to shape land management policy, and protect Indigenous cultures. https://t.co/PZbVrCKnHo'"
1424835650092683268,2021-08-09 20:51:05,"b""et \xc3\xa0 apprendre d'eux alors que nous prot\xc3\xa9geons la biodiversit\xc3\xa9 et adoptons des solutions naturelles au changement climatique."""
1424835649128083456,2021-08-09 20:51:05,"b""Les peuples autochtones ont compris et prot\xc3\xa9g\xc3\xa9 ces terres depuis des temps imm\xc3\xa9moriaux. C\xe2\x80\x99est pourquoi cette annonce s'inscrit dans le cadre de notre engagement \xc3\xa0 travailler avec les peuples autochtones \xe2\x80\x94 comme les Mushkegowuk \xe2\x80\x94"""
1424835648167596038,2021-08-09 20:51:05,"b""En plus d'abriter des esp\xc3\xa8ces comme les ours polaires et les b\xc3\xa9lugas, cette aire marine est reli\xc3\xa9e \xc3\xa0 la plus grande zone humide d'Am\xc3\xa9rique du Nord. Appel\xc3\xa9es \xc2\xab terres de respiration \xc2\xbb par les a\xc3\xaen\xc3\xa9s, elles jouent un r\xc3\xb4le essentiel dans le refroidissement de notre plan\xc3\xa8te."""
1424835645818740745,2021-08-09 20:51:04,"b""Je suis aujourd'hui \xc3\xa0 Moosonee pour signer un protocole d'entente avec le Conseil de Mushkegowuk afin d'\xc3\xa9valuer la faisabilit\xc3\xa9 d'une aire marine nationale de conservation dans l'ouest de la baie James et le sud-ouest de la baie d'Hudson. https://t.co/JBgUjxsQc6"""
1424835197292400640,2021-08-09 20:49:17,"b'Indigenous peoples have understood and protected these lands since time immemorial. This announcement is part of our commitment to working with and learning from Indigenous peoples, like the Mushkegowuk, as we protect nature and embrace nature based solutions on climate change.'"
1424835196277374976,2021-08-09 20:49:17,"b'Not only home to iconic species like polar bears and beluga whales, this marine area also connects to the Hudson-James Bay Lowlands -- the largest wetland in North America. Called the \xe2\x80\x9cbreathing lands\xe2\x80\x9d by Elders, they play a vital role in cooling our planet.'"
1424835193777627139,2021-08-09 20:49:17,b'Today I was honoured to be in Moosonee to sign an MOU with the Mushkegowuk Council to assess the feasibility of a National Marine Conservation area in western James Bay and southwestern Hudson Bay. https://t.co/L5S9eYo6dj'
1424804955811090441,2021-08-09 18:49:07,"b'Another exciting development in our plan to build a network of Urban National Parks! \n\nUrban greenspace protects vital biodiversity, keep our communities happy and healthy, and helps us fight climate change \xf0\x9f\x9a\xb4\xf0\x9f\x8c\xb3\xf0\x9f\x90\xa6 https://t.co/rTfw7jWVQb'"
1424799814345117701,2021-08-09 18:28:41,"b""RT @mflalonde: Le rapport d'@IPCC_CH sur le changement climatique publi\xc3\xa9 ajd. est aussi brutal qu'alarmant. Nous devons poursuivre nos effo\xe2\x80\xa6"""
1424799731109220352,2021-08-09 18:28:22,"b""RT @mflalonde: Today's @IPCC_CH report on climate change is as blunt as it is alarming. We need to continue our work to drive down emission\xe2\x80\xa6"""
